# file...... output/IEEE_123_feeder_0_swing_node.csv
# date...... Tue Apr 24 20:02:51 2018
# user...... reim112
# host...... (null)
# target.... meter 284
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,measured_current_A,measured_current_B,measured_current_C,measured_voltage_A,measured_voltage_B,measured_voltage_C,measured_power
2013-07-29 00:41:00 PST,+300.787-137.545j,-230.707-129.378j,-25.1482+282.07j,+2401.38-0.612998j,-1201.1-2079.45j,-1200.26+2079.96j,+1.8854e+006+940711j
2013-07-29 00:42:00 PST,+300.185-137.313j,-228.593-128.472j,-26.0142+282.705j,+2401.38-0.611757j,-1201.09-2079.46j,-1200.26+2079.96j,+1.8819e+006+935811j
2013-07-29 00:43:00 PST,+295.019-135.356j,-230.253-129.451j,-29.2691+300.351j,+2401.38-0.601096j,-1201.1-2079.45j,-1200.22+2079.97j,+1.91413e+006+947790j
2013-07-29 00:44:00 PST,+303.656-140.023j,-225.861-125.817j,-29.2657+294.907j,+2401.37-0.618462j,-1201.09-2079.46j,-1200.23+2079.97j,+1.91071e+006+947696j
2013-07-29 00:45:00 PST,+302.587-140.131j,-228.783-128.333j,-30.0564+293.823j,+2401.37-0.616088j,-1201.09-2079.46j,-1200.24+2079.97j,+1.91558e+006+948065j
2013-07-29 00:46:00 PST,+299.134-138.867j,-225.48-125.395j,-29.0539+282.627j,+2401.38-0.608946j,-1201.09-2079.47j,-1200.26+2079.97j,+1.87272e+006+930352j
2013-07-29 00:47:00 PST,+289.296-135.76j,-222.944-122.545j,-28.7642+282.135j,+2401.39-0.58844j,-1201.08-2079.47j,-1200.26+2079.97j,+1.83875e+006+921066j
2013-07-29 00:48:00 PST,+292.204-136.785j,-227.616-126.333j,-29.5046+281.474j,+2401.38-0.594468j,-1201.09-2079.46j,-1200.26+2079.97j,+1.85874e+006+926355j
2013-07-29 00:49:00 PST,+292.673-137.11j,-223.097-123.511j,-30.6168+293.666j,+2401.38-0.595386j,-1201.09-2079.47j,-1200.24+2079.97j,+1.87526e+006+933443j
2013-07-29 00:50:00 PST,+303.457-141.148j,-234.146-132.355j,-29.1743+287.351j,+2401.37-0.617658j,-1201.1-2079.44j,-1200.25+2079.97j,+1.91795e+006+950893j
2013-07-29 00:51:00 PST,+294.887-137.874j,-236.158-133.922j,-29.0611+283.197j,+2401.38-0.59998j,-1201.1-2079.44j,-1200.26+2079.97j,+1.89427e+006+940596j
2013-07-29 00:52:00 PST,+281.873-132.31j,-232.606-132.097j,-27.0631+280.381j,+2401.4-0.573331j,-1201.1-2079.45j,-1200.27+2079.97j,+1.8467e+006+922838j
2013-07-29 00:53:00 PST,+299.084-137.787j,-225.146-125.041j,-27.1803+281.221j,+2401.38-0.609192j,-1201.09-2079.47j,-1200.26+2079.97j,+1.86629e+006+929701j
2013-07-29 00:54:00 PST,+300.328-139.074j,-228.022-129.42j,-27.1783+281.207j,+2401.37-0.611492j,-1201.1-2079.46j,-1200.26+2079.97j,+1.88181e+006+933494j
2013-07-29 00:55:00 PST,+296.644-136.957j,-226.722-128.426j,-28.5554+290.814j,+2401.38-0.604125j,-1201.1-2079.46j,-1200.24+2079.97j,+1.89097e+006+935568j
2013-07-29 00:56:00 PST,+300.436-138.349j,-224.154-126.501j,-28.0572+288.2j,+2401.38-0.611965j,-1201.09-2079.47j,-1200.25+2079.97j,+1.88695e+006+933779j
2013-07-29 00:57:00 PST,+304.383-139.147j,-231.356-132.324j,-27.3518+286.077j,+2401.37-0.620339j,-1201.1-2079.45j,-1200.25+2079.97j,+1.91193e+006+942589j
2013-07-29 00:58:00 PST,+301.9-138.094j,-236.512-136.564j,-27.7463+284.101j,+2401.38-0.615253j,-1201.11-2079.44j,-1200.26+2079.97j,+1.91734e+006+942498j
2013-07-29 00:59:00 PST,+301.014-138.036j,-229.657-130.152j,-30.0651+292.721j,+2401.38-0.613334j,-1201.1-2079.45j,-1200.24+2079.97j,+1.91435e+006+941327j
2013-07-29 01:00:00 PST,+297.468-136.705j,-230.781-130.477j,-30.8187+298.653j,+2401.38-0.60601j,-1201.1-2079.45j,-1200.22+2079.97j,+1.92111e+006+945632j
2013-07-29 01:01:00 PST,+307.696-138.638j,-228.343-128.21j,-28.4753+284.135j,+2401.37-0.627756j,-1201.09-2079.46j,-1200.26+2079.97j,+1.90502e+006+935374j
2013-07-29 01:02:00 PST,+308.55-137.198j,-228.876-127.465j,-26.1897+272.515j,+2401.38-0.630097j,-1201.09-2079.46j,-1200.28+2079.97j,+1.87925e+006+924732j
2013-07-29 01:03:00 PST,+315.215-139.961j,-228.791-127.365j,-26.7093+274.849j,+2401.37-0.643773j,-1201.09-2079.46j,-1200.28+2079.97j,+1.90042e+006+933020j
2013-07-29 01:04:00 PST,+323.471-143.131j,-223.118-122.687j,-25.4021+269.632j,+2401.36-0.660798j,-1201.08-2079.47j,-1200.29+2079.97j,+1.89129e+006+930906j
2013-07-29 01:05:00 PST,+323.581-143.679j,-220.083-120.25j,-25.9594+277.162j,+2401.36-0.66086j,-1201.08-2079.48j,-1200.27+2079.97j,+1.89917e+006+936713j
2013-07-29 01:06:00 PST,+316.251-139.231j,-219.403-119.738j,-25.9188+277.869j,+2401.37-0.646281j,-1201.08-2079.48j,-1200.27+2079.97j,+1.88111e+006+926179j
2013-07-29 01:07:00 PST,+313.718-137.049j,-226.658-125.798j,-25.9454+278.613j,+2401.37-0.641454j,-1201.09-2079.46j,-1200.27+2079.97j,+1.89792e+006+929581j
2013-07-29 01:08:00 PST,+316.837-138.346j,-225.676-125.088j,-26.6491+287.503j,+2401.37-0.647853j,-1201.09-2079.47j,-1200.25+2079.96j,+1.92209e+006+940706j
2013-07-29 01:09:00 PST,+306.62-136.731j,-223.236-122.969j,-25.903+283.483j,+2401.38-0.626029j,-1201.08-2079.47j,-1200.26+2079.96j,+1.88096e+006+931043j
2013-07-29 01:10:00 PST,+297.559-133.833j,-226.172-124.698j,-24.449+275.883j,+2401.39-0.607152j,-1201.09-2079.46j,-1200.28+2079.96j,+1.84876e+006+922030j
2013-07-29 01:11:00 PST,+305.266-136.787j,-231.651-129.905j,-25.1489+280.872j,+2401.38-0.623047j,-1201.1-2079.45j,-1200.27+2079.96j,+1.8959e+006+938779j
2013-07-29 01:12:00 PST,+306.952-138.002j,-228.822-127.53j,-26.6827+286.65j,+2401.37-0.626336j,-1201.09-2079.46j,-1200.25+2079.96j,+1.90547e+006+942406j
2013-07-29 01:13:00 PST,+317.543-142.27j,-224.174-123.743j,-25.7053+280.578j,+2401.36-0.64811j,-1201.09-2079.47j,-1200.27+2079.96j,+1.90365e+006+942274j
2013-07-29 01:14:00 PST,+321.059-144.653j,-216.031-117.851j,-26.9695+283.868j,+2401.36-0.65502j,-1201.08-2079.49j,-1200.26+2079.97j,+1.89842e+006+939458j
2013-07-29 01:15:00 PST,+318.043-143.51j,-224.553-125.392j,-26.0181+277.26j,+2401.36-0.648797j,-1201.09-2079.47j,-1200.27+2079.97j,+1.9022e+006+939428j
2013-07-29 01:16:00 PST,+314.597-142.321j,-222.621-123.896j,-25.2647+274.01j,+2401.36-0.641648j,-1201.09-2079.47j,-1200.28+2079.97j,+1.88084e+006+932027j
