# file...... output/IEEE_123_feeder_0_swing_node.csv
# date...... Fri Jul 26 12:25:41 2019
# user...... ankit
# host...... (null)
# target.... meter 285
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,measured_current_A,measured_current_B,measured_current_C,measured_voltage_A,measured_voltage_B,measured_voltage_C,measured_power
2013-07-29 12:00:00 PST,+291.621-128.875j,-234.144-138.588j,-26.4079+266.091j,+2401.4-0.595788j,-1201.11-2079.44j,-1200.3+2079.97j,+1.85496e+06+894196j
2013-07-29 12:00:39 PST,+401.015-214.196j,-297.949-167.158j,-16.1195+357.047j,+2401.18-0.807145j,-1201.16-2079.29j,-1200.1+2079.92j,+2.43051e+06+1.32771e+06j
2013-07-29 12:00:40 PST,+401.002-214.283j,-297.985-167.139j,-15.9278+357.107j,+2401.18-0.807088j,-1201.16-2079.29j,-1200.1+2079.92j,+2.43037e+06+1.32848e+06j
2013-07-29 12:00:41 PST,+402.197-215.194j,-302.91-169.243j,-15.0493+365.315j,+2401.17-0.809404j,-1201.16-2079.28j,-1200.08+2079.91j,+2.45955e+06+1.35005e+06j
2013-07-29 12:00:42 PST,+402.197-215.194j,-302.91-169.243j,-15.0493+365.315j,+2401.17-0.809404j,-1201.16-2079.28j,-1200.08+2079.91j,+2.45955e+06+1.35005e+06j
2013-07-29 12:00:43 PST,+402.197-215.194j,-302.91-169.243j,-15.0493+365.315j,+2401.17-0.809404j,-1201.16-2079.28j,-1200.08+2079.91j,+2.45955e+06+1.35005e+06j
2013-07-29 12:00:44 PST,+402.214-215.167j,-302.967-169.217j,-14.8992+365.341j,+2401.17-0.80945j,-1201.16-2079.28j,-1200.08+2079.91j,+2.45948e+06+1.35048e+06j
2013-07-29 12:00:45 PST,+416.258-225.622j,-303.015-167.717j,-13.9504+373.358j,+2401.15-0.836748j,-1201.16-2079.28j,-1200.07+2079.91j,+2.50568e+06+1.38904e+06j
2013-07-29 12:00:46 PST,+416.258-225.622j,-303.015-167.717j,-13.9504+373.358j,+2401.15-0.836748j,-1201.16-2079.28j,-1200.07+2079.91j,+2.50568e+06+1.38904e+06j
2013-07-29 12:00:47 PST,+416.258-225.622j,-303.015-167.717j,-13.9504+373.358j,+2401.15-0.836748j,-1201.16-2079.28j,-1200.07+2079.91j,+2.50568e+06+1.38904e+06j
2013-07-29 12:00:48 PST,+416.175-226.142j,-302.916-167.797j,-13.9638+373.424j,+2401.15-0.836395j,-1201.16-2079.28j,-1200.07+2079.91j,+2.50568e+06+1.39004e+06j
2013-07-29 12:00:49 PST,+421.842-230.349j,-305.196-168.753j,-12.9716+382.184j,+2401.13-0.847414j,-1201.16-2079.28j,-1200.05+2079.9j,+2.54104e+06+1.41629e+06j
2013-07-29 12:00:50 PST,+421.842-230.349j,-305.196-168.753j,-12.9716+382.184j,+2401.13-0.847414j,-1201.16-2079.28j,-1200.05+2079.9j,+2.54104e+06+1.41629e+06j
2013-07-29 12:00:51 PST,+421.842-230.349j,-305.196-168.753j,-12.9716+382.184j,+2401.13-0.847414j,-1201.16-2079.28j,-1200.05+2079.9j,+2.54104e+06+1.41629e+06j
2013-07-29 12:00:52 PST,+421.814-230.49j,-305.217-168.738j,-12.9031+382.243j,+2401.13-0.847307j,-1201.16-2079.28j,-1200.05+2079.9j,+2.54101e+06+1.4169e+06j
2013-07-29 12:00:53 PST,+434.159-239.744j,-311.758-171.56j,-11.3644+395.587j,+2401.11-0.871282j,-1201.16-2079.26j,-1200.02+2079.9j,+2.61028e+06+1.4685e+06j
2013-07-29 12:00:54 PST,+434.159-239.744j,-311.758-171.56j,-11.3644+395.587j,+2401.11-0.871282j,-1201.16-2079.26j,-1200.02+2079.9j,+2.61028e+06+1.4685e+06j
2013-07-29 12:00:55 PST,+434.159-239.744j,-311.758-171.56j,-11.3644+395.587j,+2401.11-0.871282j,-1201.16-2079.26j,-1200.02+2079.9j,+2.61028e+06+1.4685e+06j
2013-07-29 12:00:56 PST,+434.108-240.135j,-311.818-171.508j,-11.2356+395.672j,+2401.11-0.871041j,-1201.16-2079.26j,-1200.02+2079.89j,+2.61014e+06+1.47e+06j
2013-07-29 12:00:57 PST,+439.401-244.04j,-313.853-172.364j,-9.68134+409.688j,+2401.1-0.881341j,-1201.16-2079.26j,-1199.99+2079.89j,+2.65436e+06+1.50261e+06j
2013-07-29 12:00:58 PST,+439.401-244.04j,-313.853-172.364j,-9.68134+409.688j,+2401.1-0.881341j,-1201.16-2079.26j,-1199.99+2079.89j,+2.65436e+06+1.50261e+06j
2013-07-29 12:00:59 PST,+439.401-244.04j,-313.853-172.364j,-9.68134+409.688j,+2401.1-0.881341j,-1201.16-2079.26j,-1199.99+2079.89j,+2.65436e+06+1.50261e+06j
2013-07-29 12:01:00 PST,+439.317-244.206j,-313.802-172.458j,-9.43406+409.829j,+2401.1-0.881103j,-1201.16-2079.26j,-1199.99+2079.89j,+2.65429e+06+1.50347e+06j
2013-07-29 12:01:01 PST,+444.807-248.359j,-325.24-177.277j,-8.99901+413.423j,+2401.09-0.891753j,-1201.17-2079.23j,-1199.98+2079.88j,+2.69818e+06+1.53662e+06j
2013-07-29 12:01:02 PST,+444.807-248.359j,-325.24-177.277j,-8.99901+413.423j,+2401.09-0.891753j,-1201.17-2079.23j,-1199.98+2079.88j,+2.69818e+06+1.53662e+06j
2013-07-29 12:01:03 PST,+444.807-248.359j,-325.24-177.277j,-8.99901+413.423j,+2401.09-0.891753j,-1201.17-2079.23j,-1199.98+2079.88j,+2.69818e+06+1.53662e+06j
2013-07-29 12:01:04 PST,+444.937-248.304j,-325.511-177.054j,-8.87956+413.413j,+2401.09-0.892055j,-1201.17-2079.23j,-1199.98+2079.88j,+2.69819e+06+1.53756e+06j
2013-07-29 12:01:05 PST,+446.502-249.481j,-335.187-181.205j,-8.27845+418.675j,+2401.08-0.895093j,-1201.18-2079.21j,-1199.97+2079.88j,+2.73242e+06+1.56307e+06j
2013-07-29 12:01:06 PST,+446.502-249.481j,-335.187-181.205j,-8.27845+418.675j,+2401.08-0.895093j,-1201.18-2079.21j,-1199.97+2079.88j,+2.73242e+06+1.56307e+06j
2013-07-29 12:01:07 PST,+446.502-249.481j,-335.187-181.205j,-8.27845+418.675j,+2401.08-0.895093j,-1201.18-2079.21j,-1199.97+2079.88j,+2.73242e+06+1.56307e+06j
2013-07-29 12:01:08 PST,+446.572-249.329j,-335.368-181.085j,-8.0797+418.697j,+2401.08-0.895295j,-1201.17-2079.21j,-1199.97+2079.88j,+2.73237e+06+1.56367e+06j
2013-07-29 12:01:09 PST,+455.899-256.392j,-336.947-181.744j,-7.36672+424.956j,+2401.07-0.913385j,-1201.18-2079.2j,-1199.96+2079.88j,+2.77019e+06+1.59208e+06j
2013-07-29 12:01:10 PST,+455.899-256.392j,-336.947-181.744j,-7.36672+424.956j,+2401.07-0.913385j,-1201.18-2079.2j,-1199.96+2079.88j,+2.77019e+06+1.59208e+06j
2013-07-29 12:01:11 PST,+455.899-256.392j,-336.947-181.744j,-7.36672+424.956j,+2401.07-0.913385j,-1201.18-2079.2j,-1199.96+2079.88j,+2.77019e+06+1.59208e+06j
2013-07-29 12:01:12 PST,+455.886-256.842j,-336.952-181.686j,-7.38622+425.008j,+2401.07-0.91321j,-1201.18-2079.2j,-1199.96+2079.88j,+2.77018e+06+1.59326e+06j
2013-07-29 12:01:13 PST,+461.992-261.454j,-348.229-186.612j,-5.6154+429.961j,+2401.05-0.925057j,-1201.18-2079.18j,-1199.95+2079.87j,+2.8168e+06+1.63146e+06j
2013-07-29 12:01:14 PST,+461.992-261.454j,-348.229-186.612j,-5.6154+429.961j,+2401.05-0.925057j,-1201.18-2079.18j,-1199.95+2079.87j,+2.8168e+06+1.63146e+06j
2013-07-29 12:01:15 PST,+461.992-261.454j,-348.229-186.612j,-5.6154+429.961j,+2401.05-0.925057j,-1201.18-2079.18j,-1199.95+2079.87j,+2.8168e+06+1.63146e+06j
2013-07-29 12:01:16 PST,+462.099-261.539j,-348.414-186.478j,-5.68112+429.965j,+2401.05-0.925262j,-1201.18-2079.18j,-1199.95+2079.87j,+2.81708e+06+1.63208e+06j
2013-07-29 12:01:17 PST,+463.61-262.67j,-352.681-188.307j,-4.60722+439.821j,+2401.05-0.928197j,-1201.18-2079.17j,-1199.92+2079.87j,+2.84885e+06+1.65551e+06j
2013-07-29 12:01:18 PST,+463.61-262.67j,-352.681-188.307j,-4.60722+439.821j,+2401.05-0.928197j,-1201.18-2079.17j,-1199.92+2079.87j,+2.84885e+06+1.65551e+06j
2013-07-29 12:01:19 PST,+463.61-262.67j,-352.681-188.307j,-4.60722+439.821j,+2401.05-0.928197j,-1201.18-2079.17j,-1199.92+2079.87j,+2.84885e+06+1.65551e+06j
2013-07-29 12:01:20 PST,+463.575-262.669j,-352.731-188.335j,-4.38063+439.919j,+2401.05-0.928121j,-1201.18-2079.17j,-1199.92+2079.87j,+2.84881e+06+1.65617e+06j
2013-07-29 12:01:21 PST,+465.643-264.208j,-357.835-190.541j,-3.52064+447.346j,+2401.05-0.932142j,-1201.19-2079.15j,-1199.91+2079.86j,+2.87891e+06+1.67851e+06j
2013-07-29 12:01:22 PST,+465.643-264.208j,-357.835-190.541j,-3.52064+447.346j,+2401.05-0.932142j,-1201.19-2079.15j,-1199.91+2079.86j,+2.87891e+06+1.67851e+06j
2013-07-29 12:01:23 PST,+465.643-264.208j,-357.835-190.541j,-3.52064+447.346j,+2401.05-0.932142j,-1201.19-2079.15j,-1199.91+2079.86j,+2.87891e+06+1.67851e+06j
2013-07-29 12:01:24 PST,+465.658-264.199j,-357.908-190.543j,-3.32713+447.395j,+2401.05-0.932177j,-1201.19-2079.15j,-1199.91+2079.86j,+2.87891e+06+1.6791e+06j
2013-07-29 12:01:25 PST,+472.451-269.281j,-359.886-191.392j,-2.18264+449.674j,+2401.03-0.945373j,-1201.19-2079.15j,-1199.9+2079.86j,+2.90273e+06+1.69949e+06j
2013-07-29 12:01:26 PST,+472.451-269.281j,-359.886-191.392j,-2.18264+449.674j,+2401.03-0.945373j,-1201.19-2079.15j,-1199.9+2079.86j,+2.90273e+06+1.69949e+06j
2013-07-29 12:01:27 PST,+472.451-269.281j,-359.886-191.392j,-2.18264+449.674j,+2401.03-0.945373j,-1201.19-2079.15j,-1199.9+2079.86j,+2.90273e+06+1.69949e+06j
2013-07-29 12:01:28 PST,+472.468-269.516j,-359.929-191.325j,-2.27865+449.698j,+2401.03-0.945333j,-1201.19-2079.15j,-1199.9+2079.86j,+2.90284e+06+1.70005e+06j
2013-07-29 12:01:29 PST,+479.556-274.899j,-363.704-192.972j,-3.17233+452.256j,+2401.02-0.959075j,-1201.19-2079.14j,-1199.9+2079.86j,+2.93422e+06+1.72004e+06j
2013-07-29 12:01:30 PST,+479.556-274.899j,-363.704-192.972j,-3.17233+452.256j,+2401.02-0.959075j,-1201.19-2079.14j,-1199.9+2079.86j,+2.93422e+06+1.72004e+06j
2013-07-29 12:01:31 PST,+479.556-274.899j,-363.704-192.972j,-3.17233+452.256j,+2401.02-0.959075j,-1201.19-2079.14j,-1199.9+2079.86j,+2.93422e+06+1.72004e+06j
2013-07-29 12:01:32 PST,+479.594-275.172j,-363.769-192.872j,-3.1513+452.259j,+2401.02-0.959068j,-1201.19-2079.14j,-1199.9+2079.86j,+2.93416e+06+1.72099e+06j
2013-07-29 12:01:33 PST,+484.164-278.668j,-363.769-192.873j,-2.38863+458.487j,+2401.01-0.96792j,-1201.19-2079.14j,-1199.88+2079.85j,+2.95717e+06+1.73843e+06j
2013-07-29 12:01:34 PST,+484.164-278.668j,-363.769-192.873j,-2.38863+458.487j,+2401.01-0.96792j,-1201.19-2079.14j,-1199.88+2079.85j,+2.95717e+06+1.73843e+06j
2013-07-29 12:01:35 PST,+484.164-278.668j,-363.769-192.873j,-2.38863+458.487j,+2401.01-0.96792j,-1201.19-2079.14j,-1199.88+2079.85j,+2.95717e+06+1.73843e+06j
2013-07-29 12:01:36 PST,+484.085-278.964j,-363.701-192.921j,-2.31658+458.588j,+2401.01-0.96765j,-1201.19-2079.14j,-1199.88+2079.85j,+2.95712e+06+1.73921e+06j
2013-07-29 12:01:37 PST,+489.08-282.733j,-363.7-192.922j,-1.78352+462.984j,+2401-0.977343j,-1201.19-2079.14j,-1199.87+2079.85j,+2.97762e+06+1.75463e+06j
2013-07-29 12:01:38 PST,+489.08-282.733j,-363.7-192.922j,-1.78352+462.984j,+2401-0.977343j,-1201.19-2079.14j,-1199.87+2079.85j,+2.97762e+06+1.75463e+06j
2013-07-29 12:01:39 PST,+489.08-282.733j,-363.7-192.922j,-1.78352+462.984j,+2401-0.977343j,-1201.19-2079.14j,-1199.87+2079.85j,+2.97762e+06+1.75463e+06j
2013-07-29 12:01:40 PST,+489.026-282.997j,-363.648-192.956j,-1.74589+463.067j,+2401-0.977137j,-1201.19-2079.14j,-1199.87+2079.85j,+2.97763e+06+1.75529e+06j
2013-07-29 12:01:41 PST,+495.805-288.052j,-371.844-196.43j,-1.48435+465.223j,+2400.98-0.990311j,-1201.2-2079.12j,-1199.87+2079.85j,+3.01514e+06+1.78339e+06j
2013-07-29 12:01:42 PST,+495.805-288.052j,-371.844-196.43j,-1.48435+465.223j,+2400.98-0.990311j,-1201.2-2079.12j,-1199.87+2079.85j,+3.01514e+06+1.78339e+06j
2013-07-29 12:01:43 PST,+495.805-288.052j,-371.844-196.43j,-1.48435+465.223j,+2400.98-0.990311j,-1201.2-2079.12j,-1199.87+2079.85j,+3.01514e+06+1.78339e+06j
2013-07-29 12:01:44 PST,+495.967-288.079j,-372.1-196.239j,-1.42181+465.199j,+2400.98-0.990658j,-1201.2-2079.12j,-1199.87+2079.85j,+3.01532e+06+1.78432e+06j
2013-07-29 12:01:45 PST,+502.733-293.13j,-376.266-197.983j,-0.189838+475.925j,+2400.97-1.0038j,-1201.2-2079.11j,-1199.85+2079.84j,+3.06102e+06+1.81841e+06j
2013-07-29 12:01:46 PST,+502.733-293.13j,-376.266-197.983j,-0.189838+475.925j,+2400.97-1.0038j,-1201.2-2079.11j,-1199.85+2079.84j,+3.06102e+06+1.81841e+06j
2013-07-29 12:01:47 PST,+502.733-293.13j,-376.266-197.983j,-0.189838+475.925j,+2400.97-1.0038j,-1201.2-2079.11j,-1199.85+2079.84j,+3.06102e+06+1.81841e+06j
2013-07-29 12:01:48 PST,+502.72-293.333j,-376.342-197.99j,+0.0039307+476.064j,+2400.97-1.00371j,-1201.2-2079.11j,-1199.85+2079.84j,+3.06115e+06+1.81962e+06j
2013-07-29 12:01:49 PST,+512.99-301.076j,-384.723-201.594j,+1.9877+492.694j,+2400.95-1.02364j,-1201.2-2079.09j,-1199.81+2079.83j,+3.13557e+06+1.87534e+06j
2013-07-29 12:01:50 PST,+512.99-301.076j,-384.723-201.594j,+1.9877+492.694j,+2400.95-1.02364j,-1201.2-2079.09j,-1199.81+2079.83j,+3.13557e+06+1.87534e+06j
2013-07-29 12:01:51 PST,+512.99-301.076j,-384.723-201.594j,+1.9877+492.694j,+2400.95-1.02364j,-1201.2-2079.09j,-1199.81+2079.83j,+3.13557e+06+1.87534e+06j
2013-07-29 12:01:52 PST,+512.918-301.468j,-384.778-201.66j,+2.41582+492.999j,+2400.95-1.02335j,-1201.2-2079.09j,-1199.81+2079.83j,+3.13572e+06+1.87757e+06j
2013-07-29 12:01:53 PST,+521.261-307.745j,-390.951-204.291j,+3.32062+501.2j,+2400.93-1.03955j,-1201.21-2079.08j,-1199.79+2079.83j,+3.18461e+06+1.914e+06j
2013-07-29 12:01:54 PST,+521.261-307.745j,-390.951-204.291j,+3.32062+501.2j,+2400.93-1.03955j,-1201.21-2079.08j,-1199.79+2079.83j,+3.18461e+06+1.914e+06j
2013-07-29 12:01:55 PST,+521.261-307.745j,-390.951-204.291j,+3.32062+501.2j,+2400.93-1.03955j,-1201.21-2079.08j,-1199.79+2079.83j,+3.18461e+06+1.914e+06j
2013-07-29 12:01:56 PST,+521.321-307.972j,-391.128-204.183j,+3.40495+501.256j,+2400.93-1.0396j,-1201.21-2079.08j,-1199.79+2079.83j,+3.18476e+06+1.91528e+06j
2013-07-29 12:01:57 PST,+525.99-311.172j,-391.167-204.202j,+4.70825+511.682j,+2400.92-1.04877j,-1201.21-2079.08j,-1199.77+2079.82j,+3.21617e+06+1.93822e+06j
2013-07-29 12:01:58 PST,+525.99-311.172j,-391.167-204.202j,+4.70825+511.682j,+2400.92-1.04877j,-1201.21-2079.08j,-1199.77+2079.82j,+3.21617e+06+1.93822e+06j
2013-07-29 12:01:59 PST,+525.99-311.172j,-391.167-204.202j,+4.70825+511.682j,+2400.92-1.04877j,-1201.21-2079.08j,-1199.77+2079.82j,+3.21617e+06+1.93822e+06j
2013-07-29 12:02:00 PST,+525.547-311.248j,-391.008-204.421j,+5.05291+511.981j,+2400.92-1.04778j,-1201.21-2079.08j,-1199.77+2079.82j,+3.21558e+06+1.93888e+06j
2013-07-29 12:02:01 PST,+539.571-322.098j,-400.505-208.489j,+5.50321+515.352j,+2400.9-1.0749j,-1201.21-2079.06j,-1199.76+2079.82j,+3.27559e+06+1.98472e+06j
2013-07-29 12:02:02 PST,+539.571-322.098j,-400.505-208.489j,+5.50321+515.352j,+2400.9-1.0749j,-1201.21-2079.06j,-1199.76+2079.82j,+3.27559e+06+1.98472e+06j
2013-07-29 12:02:03 PST,+539.571-322.098j,-400.505-208.489j,+5.50321+515.352j,+2400.9-1.0749j,-1201.21-2079.06j,-1199.76+2079.82j,+3.27559e+06+1.98472e+06j
2013-07-29 12:02:04 PST,+539.748-322.716j,-400.78-208.161j,+5.34663+515.366j,+2400.89-1.07509j,-1201.21-2079.05j,-1199.76+2079.82j,+3.27588e+06+1.98686e+06j
2013-07-29 12:02:05 PST,+554.264-333.794j,-403.776-209.443j,+6.71685+526.415j,+2400.86-1.10321j,-1201.21-2079.05j,-1199.74+2079.81j,+3.33833e+06+2.0342e+06j
2013-07-29 12:02:06 PST,+554.264-333.794j,-403.776-209.443j,+6.71685+526.415j,+2400.86-1.10321j,-1201.21-2079.05j,-1199.74+2079.81j,+3.33833e+06+2.0342e+06j
2013-07-29 12:02:07 PST,+554.264-333.794j,-403.776-209.443j,+6.71685+526.415j,+2400.86-1.10321j,-1201.21-2079.05j,-1199.74+2079.81j,+3.33833e+06+2.0342e+06j
2013-07-29 12:02:08 PST,+554.223-334.556j,-403.74-209.464j,+6.83415+526.713j,+2400.86-1.10287j,-1201.21-2079.05j,-1199.74+2079.81j,+3.33871e+06+2.03653e+06j
2013-07-29 12:02:09 PST,+566.101-343.746j,-406.83-210.757j,+7.79666+535.009j,+2400.84-1.12585j,-1201.22-2079.04j,-1199.72+2079.81j,+3.38973e+06+2.07537e+06j
2013-07-29 12:02:10 PST,+566.101-343.746j,-406.83-210.757j,+7.79666+535.009j,+2400.84-1.12585j,-1201.22-2079.04j,-1199.72+2079.81j,+3.38973e+06+2.07537e+06j
2013-07-29 12:02:11 PST,+566.101-343.746j,-406.83-210.757j,+7.79666+535.009j,+2400.84-1.12585j,-1201.22-2079.04j,-1199.72+2079.81j,+3.38973e+06+2.07537e+06j
2013-07-29 12:02:12 PST,+566.105-344.398j,-406.894-210.676j,+7.79053+535.154j,+2400.84-1.12564j,-1201.22-2079.04j,-1199.72+2079.81j,+3.38996e+06+2.07732e+06j
2013-07-29 12:02:13 PST,+572.271-349.166j,-408.523-211.364j,+8.31114+539.609j,+2400.83-1.13757j,-1201.22-2079.04j,-1199.71+2079.8j,+3.41679e+06+2.09774e+06j
2013-07-29 12:02:14 PST,+572.271-349.166j,-408.523-211.364j,+8.31114+539.609j,+2400.83-1.13757j,-1201.22-2079.04j,-1199.71+2079.8j,+3.41679e+06+2.09774e+06j
