# voltages.csv run at 2000-01-01 03:00:00 EST on 134 nodes
node_name,voltA_real,voltA_imag,voltB_real,voltB_imag,voltC_real,voltC_imag
1,2476.990792,-28.009542,-1262.386537,-2159.275155,-1228.497006,2160.542279
2,0.000000,0.000000,-1262.274681,-2158.725515,0.000000,0.000000
4,0.000000,0.000000,0.000000,0.000000,-1224.408338,2156.918591
5,0.000000,0.000000,0.000000,0.000000,-1222.886868,2155.576654
6,0.000000,0.000000,0.000000,0.000000,-1221.600848,2154.433553
7,2454.550409,-48.154224,-1269.777040,-2150.315721,-1212.306377,2153.820789
9,2436.350354,-62.456278,0.000000,0.000000,0.000000,0.000000
10,2416.266236,-63.640913,0.000000,0.000000,0.000000,0.000000
11,2415.453214,-63.871020,0.000000,0.000000,0.000000,0.000000
12,0.000000,0.000000,-1274.426598,-2143.506927,0.000000,0.000000
16,0.000000,0.000000,0.000000,0.000000,-1179.780856,2139.334006
17,0.000000,0.000000,0.000000,0.000000,-1180.751600,2140.217936
19,2395.332527,-98.543337,0.000000,0.000000,0.000000,0.000000
20,2393.279250,-99.242850,0.000000,0.000000,0.000000,0.000000
22,0.000000,0.000000,-1283.960147,-2117.866302,0.000000,0.000000
24,0.000000,0.000000,0.000000,0.000000,-1165.977162,2121.561511
28,2393.623256,-105.584594,-1285.063911,-2124.243189,-1167.395948,2121.282493
29,2393.192453,-106.469823,-1285.025275,-2124.700913,-1166.648991,2120.455092
30,2393.824127,-106.633434,-1284.556504,-2124.873897,-1165.307066,2119.946265
31,0.000000,0.000000,0.000000,0.000000,-1158.277724,2106.974806
32,0.000000,0.000000,0.000000,0.000000,-1157.538867,2106.300245
33,2389.895703,-107.389193,0.000000,0.000000,0.000000,0.000000
34,0.000000,0.000000,0.000000,0.000000,-1182.328190,2141.652750
35,2391.752131,-100.955374,-1284.697366,-2114.176046,-1169.207951,2127.062982
37,2387.556074,-102.241120,0.000000,0.000000,0.000000,0.000000
38,0.000000,0.000000,-1285.517263,-2110.574855,0.000000,0.000000
39,0.000000,0.000000,-1285.288311,-2109.545491,0.000000,0.000000
41,0.000000,0.000000,0.000000,0.000000,-1165.526395,2124.939114
42,2384.230496,-103.741701,-1285.430591,-2107.450905,-1163.903791,2124.449671
43,0.000000,0.000000,-1284.683742,-2104.107881,0.000000,0.000000
45,2380.300396,-105.348008,0.000000,0.000000,0.000000,0.000000
46,2379.331231,-105.630882,0.000000,0.000000,0.000000,0.000000
47,2379.066787,-105.792672,-1285.365325,-2102.575243,-1158.871922,2121.988532
48,2378.389084,-106.082980,-1285.243042,-2101.836211,-1158.248558,2121.726097
49,2378.398992,-106.122923,-1284.967853,-2101.312699,-1157.594629,2121.699186
50,2378.330972,-106.559179,-1284.676735,-2101.564003,-1156.779149,2121.215772
51,2377.921018,-106.873017,-1284.829875,-2101.694372,-1156.922148,2121.099465
52,2405.514182,-94.864513,-1288.376535,-2126.717902,-1171.245959,2141.652920
53,2398.727007,-102.086755,-1291.943467,-2122.487741,-1164.556621,2140.998407
55,2394.382049,-106.392444,-1294.264476,-2119.326205,-1160.432296,2140.786163
56,2394.319322,-106.154133,-1294.339537,-2118.793283,-1160.474802,2140.993952
58,0.000000,0.000000,-1297.826923,-2107.767779,0.000000,0.000000
59,0.000000,0.000000,-1297.647314,-2106.978181,0.000000,0.000000
60,2369.895779,-146.063692,-1306.578351,-2090.296059,-1125.647924,2135.913065
62,2367.811334,-144.842681,-1304.552884,-2088.459905,-1124.651348,2131.674583
63,2366.361409,-143.985991,-1303.120804,-2087.166916,-1124.090758,2129.396208
64,2364.793260,-142.758462,-1300.258341,-2084.613585,-1122.975794,2124.821530
65,2362.825017,-141.233904,-1298.977996,-2083.738498,-1121.685970,2119.300549
66,2362.793678,-141.241612,-1299.026167,-2083.766263,-1121.148056,2116.950457
68,2479.516371,-164.892569,0.000000,0.000000,0.000000,0.000000
69,2475.220106,-166.040216,0.000000,0.000000,0.000000,0.000000
70,2472.171460,-166.853854,0.000000,0.000000,0.000000,0.000000
71,2470.451285,-167.312800,0.000000,0.000000,0.000000,0.000000
73,0.000000,0.000000,0.000000,0.000000,-1144.489081,2199.089505
74,0.000000,0.000000,0.000000,0.000000,-1141.110290,2195.856495
75,0.000000,0.000000,0.000000,0.000000,-1139.236603,2194.063025
76,2483.617943,-170.945813,-1325.834269,-2089.929475,-1147.186802,2205.234115
77,2486.217723,-173.909942,-1330.211243,-2090.412933,-1145.196915,2208.677041
79,2486.114265,-175.363060,-1331.523546,-2091.135639,-1144.992039,2209.095615
80,2491.723977,-177.766795,-1335.633566,-2092.929600,-1141.497088,2213.365015
82,2498.621124,-183.127755,-1342.489792,-2098.635676,-1137.795887,2218.922563
83,2501.376161,-184.264504,-1344.932373,-2100.261071,-1137.071463,2221.518445
84,0.000000,0.000000,0.000000,0.000000,-1133.494912,2212.078221
85,0.000000,0.000000,0.000000,0.000000,-1131.291609,2209.944673
86,2481.375464,-172.028262,-1329.612409,-2082.582592,-1147.611319,2208.896105
87,2480.049088,-172.944349,-1331.913277,-2078.902930,-1147.489262,2210.456662
88,2479.848580,-174.244074,0.000000,0.000000,0.000000,0.000000
90,0.000000,0.000000,-1334.676722,-2076.204803,0.000000,0.000000
92,0.000000,0.000000,0.000000,0.000000,-1145.057667,2213.187888
94,2476.052842,-173.172257,0.000000,0.000000,0.000000,0.000000
95,2477.703421,-172.296384,-1333.895265,-2074.428801,-1147.581131,2212.844508
96,0.000000,0.000000,-1333.738714,-2073.797789,0.000000,0.000000
98,2480.220508,-166.404152,-1320.314025,-2095.168377,-1151.037809,2199.471148
99,2480.946275,-165.936270,-1319.618533,-2093.281019,-1149.160213,2199.533112
100,2481.412154,-166.100807,-1319.067445,-2093.441818,-1148.006116,2199.043323
102,0.000000,0.000000,0.000000,0.000000,-1148.032878,2196.226848
103,0.000000,0.000000,0.000000,0.000000,-1144.982399,2193.318073
104,0.000000,0.000000,0.000000,0.000000,-1141.695336,2190.181848
106,0.000000,0.000000,-1321.285224,-2090.825290,0.000000,0.000000
107,0.000000,0.000000,-1320.413654,-2087.196425,0.000000,0.000000
109,2461.633392,-174.779546,0.000000,0.000000,0.000000,0.000000
111,2455.000940,-176.591390,0.000000,0.000000,0.000000,0.000000
112,2455.196955,-176.569967,0.000000,0.000000,0.000000,0.000000
113,2450.071780,-177.910457,0.000000,0.000000,0.000000,0.000000
114,2449.045433,-178.178794,0.000000,0.000000,0.000000,0.000000
